Year,Projected Revenue,Projected EBIT,Projected Net Income,Projected Free Cash Flow,Discount Factor,Present Value of FCF
2024,211915000000.0,63574500000.0,44502150000.0,44502150000.0,0.9345794392523364,41590794392.52336
2025,222510750000.0,66753225000.0,46727257500.0,46727257500.0,0.8734387282732117,40813396366.494896
2026,233636287500.0,70090886250.0,49063620375.0,49063620375.0,0.816297876890852,40050529144.691246
2027,245318101875.00003,73595430562.5,51516801393.75,51516801393.75,0.7628952120475252,39301921123.29515
2028,257584006968.75006,77275202090.62502,54092641463.43751,54092641463.43751,0.7129861794836684,38567305775.196175
